label,precision,recall,f1-score,support
no,1.0,0.05,0.09523809523809523,20.0
yes,0.62,1.0,0.7654320987654321,31.0
accuracy,,,0.6274509803921569,51
macro avg,0.81,0.525,0.43033509700176364,51.0
weighted avg,0.7690196078431373,0.6274509803921569,0.5026109209115744,51.0
