label,precision,recall,f1-score
no,0.7727272727272727,0.85,0.8095238095238095
yes,0.896551724137931,0.8387096774193549,0.8666666666666667
macro avg,0.8346394984326019,0.8443548387096774,0.8380952380952381
weighted avg,0.8479931157415943,0.8431372549019608,0.8442577030812325
