label,precision,recall,f1-score
no,0.4,0.6,0.48
yes,0.6190476190476191,0.41935483870967744,0.5
macro avg,0.5095238095238095,0.5096774193548387,0.49
weighted avg,0.5331465919701214,0.49019607843137253,0.49215686274509807
