label,precision,recall,f1-score
no,0.0,0.0,0.0
yes,0.6078431372549019,1.0,0.7560975609756098
macro avg,0.30392156862745096,0.5,0.3780487804878049
weighted avg,0.3694732795078815,0.6078431372549019,0.4595887135341941
